event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
FL,green,palm_oil,car_t1,3,0.00227,0.0004,True
FL,green,palm_oil,car_t3,3,0.00241,0.6083,False
FL,green,palm_oil,car_t5,3,0.00419,0.6364,False
FL,green,power,car_t1,3,0.00903,0.082,False
FL,green,power,car_t3,3,0.00324,0.2368,False
FL,green,power,car_t5,3,0.00502,0.6866,False
FL,green,textiles,car_t1,1,-0.00956,,
FL,green,textiles,car_t3,1,-0.01747,,
FL,green,textiles,car_t5,1,-0.02067,,
FL,green,timber,car_t1,10,0.00207,0.1822,False
FL,green,timber,car_t3,10,0.00049,0.8732,False
FL,green,timber,car_t5,10,-0.00063,0.9195,False
FL,green,tourism,car_t1,47,-0.00314,0.1156,False
FL,green,tourism,car_t3,47,-0.00279,0.5135,False
FL,green,tourism,car_t5,47,-0.0039,0.3854,False
FL,green,utilities,car_t1,121,-0.00141,0.0929,False
FL,green,utilities,car_t3,121,-0.00207,0.1535,False
FL,green,utilities,car_t5,121,-0.00155,0.4351,False
FL,orange_or_red,agriculture,car_t1,32,0.00113,0.2726,False
FL,orange_or_red,agriculture,car_t3,32,-0.0014,0.5083,False
FL,orange_or_red,agriculture,car_t5,32,-0.00362,0.189,False
FL,orange_or_red,automotive,car_t1,1,0.00606,,
FL,orange_or_red,automotive,car_t3,1,-0.023,,
FL,orange_or_red,automotive,car_t5,1,-0.02289,,
FL,orange_or_red,construction,car_t1,29,-0.00057,0.8058,False
FL,orange_or_red,construction,car_t3,29,-0.00188,0.6474,False
FL,orange_or_red,construction,car_t5,29,0.00061,0.8959,False
FL,orange_or_red,energy,car_t1,6,0.00921,0.1862,False
FL,orange_or_red,energy,car_t3,6,0.01146,0.3459,False
FL,orange_or_red,energy,car_t5,6,0.01293,0.4832,False
FL,orange_or_red,financial,car_t1,1,0.01317,,
FL,orange_or_red,financial,car_t3,1,-0.00242,,
FL,orange_or_red,financial,car_t5,1,-0.0004,,
FL,orange_or_red,insurance,car_t1,33,-0.00045,0.7416,False
FL,orange_or_red,insurance,car_t3,33,-0.00493,0.0818,False
FL,orange_or_red,insurance,car_t5,33,-0.00164,0.6593,False
FL,orange_or_red,mining,car_t1,5,-0.00438,0.4331,False
FL,orange_or_red,mining,car_t3,5,-0.00457,0.7024,False
FL,orange_or_red,mining,car_t5,5,-0.00473,0.7949,False
