event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
TC,orange_or_red,insurance,car_t5,7,0.01215,0.1828,False
TC,orange_or_red,tourism,car_t1,7,0.01068,0.02,True
TC,orange_or_red,tourism,car_t3,7,0.00623,0.3237,False
TC,orange_or_red,tourism,car_t5,7,0.01386,0.1806,False
TC,orange_or_red,utilities,car_t1,2,0.00879,,
TC,orange_or_red,utilities,car_t3,2,0.00341,,
TC,orange_or_red,utilities,car_t5,2,0.00674,,
WF,green,agriculture,car_t1,10,-0.00033,0.9024,False
WF,green,agriculture,car_t3,10,0.00382,0.4638,False
WF,green,agriculture,car_t5,10,0.00552,0.3112,False
WF,green,construction,car_t1,3,0.00789,0.3044,False
WF,green,construction,car_t3,3,0.00927,0.5123,False
WF,green,construction,car_t5,3,0.02383,0.0335,True
WF,green,insurance,car_t1,61,0.00098,0.3599,False
WF,green,insurance,car_t3,61,0.00844,0.0001,True
WF,green,insurance,car_t5,61,0.01064,0.0,True
WF,green,mining,car_t1,3,0.00055,0.9513,False
WF,green,mining,car_t3,3,0.02104,0.323,False
WF,green,mining,car_t5,3,0.0041,0.8249,False
WF,green,oil,car_t1,2,0.00311,,
WF,green,oil,car_t3,2,-0.00776,,
WF,green,oil,car_t5,2,-0.00256,,
WF,green,shipping,car_t1,1,-0.0125,,
WF,green,shipping,car_t3,1,-0.0109,,
WF,green,shipping,car_t5,1,-0.00676,,
WF,green,timber,car_t1,61,0.00179,0.1616,False
WF,green,timber,car_t3,61,0.00502,0.0104,True
WF,green,timber,car_t5,61,0.00579,0.0207,True
WF,green,tourism,car_t1,9,0.01197,0.1883,False
WF,green,tourism,car_t3,9,0.02482,0.0093,True
WF,green,tourism,car_t5,9,0.01384,0.2249,False
WF,green,utilities,car_t1,61,-0.00241,0.0141,True
WF,green,utilities,car_t3,61,-0.0039,0.004,True
WF,green,utilities,car_t5,61,-0.00616,0.0015,True
WF,orange_or_red,agriculture,car_t1,1,0.00116,,
WF,orange_or_red,agriculture,car_t3,1,-0.0079,,
WF,orange_or_red,agriculture,car_t5,1,-0.00782,,
WF,orange_or_red,energy,car_t1,1,-0.00118,,
WF,orange_or_red,energy,car_t3,1,-0.01252,,
WF,orange_or_red,energy,car_t5,1,-0.01258,,
WF,orange_or_red,insurance,car_t1,12,0.00407,0.2112,False
WF,orange_or_red,insurance,car_t3,12,0.00985,0.0613,False
WF,orange_or_red,insurance,car_t5,12,0.00895,0.2212,False
WF,orange_or_red,shipping,car_t1,1,0.01971,,
WF,orange_or_red,shipping,car_t3,1,0.04101,,
WF,orange_or_red,shipping,car_t5,1,0.03678,,
WF,orange_or_red,timber,car_t1,12,0.00193,0.6128,False
WF,orange_or_red,timber,car_t3,12,0.00733,0.1148,False
WF,orange_or_red,timber,car_t5,12,0.01218,0.025,True
WF,orange_or_red,tourism,car_t1,1,-0.01423,,
WF,orange_or_red,tourism,car_t3,1,-0.01184,,
WF,orange_or_red,tourism,car_t5,1,-0.03391,,
WF,orange_or_red,utilities,car_t1,12,0.00045,0.8692,False
WF,orange_or_red,utilities,car_t3,12,0.00015,0.9708,False
WF,orange_or_red,utilities,car_t5,12,-0.00809,0.1268,False
