event_id,event_type,event_date,primary_country,location_text,lat,lon,low_confidence,article_count,article_indices,rapidpopdescription,magnitude,depth,maximum_wind_speed_kmh,maximum_storm_surge_m,exposed_population,burned_area_ha,people_affected,duration_days,affected_area_km2,affected_country_count,dead,displaced,rapid_missing,rapid_few_people,rapid_unparsed,predicted_alert,prob_orange_or_red,severity_source,gdacs_alertlevel,country_iso2,country_name,key_industries,sector_etfs,sectors_from_kb,sectors_from_text
FL_1224,FL,2025-11-13,PH,Philippines,,,True,5,"[25106, 25255, 24945, 25037, 25128]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities', 'mining']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU', 'XME']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['construction', 'agriculture', 'mining']"
FL_1225,FL,2025-11-13,PH,Asia,,,True,1,[25137],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",['agriculture']
FL_1226,FL,2025-11-16,PH,Manila,,,True,1,[25388],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1227,FL,2025-11-21,PH,Philippines,,,True,7,"[24908, 25082, 25284, 25423, 25443, 25154, 25399]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1228,FL,2025-11-24,PH,Asia,,,False,9,"[25864, 25989, 26164, 25746, 25942, 25963, 26160, 26220, 26269]",,,,,,,,,,,,1338.0,,,,,orange_or_red,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",['construction']
FL_1229,FL,2025-11-30,PH,Philippines,,,True,6,"[24947, 24950, 24955, 25242, 25967, 26045]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",['construction']
FL_1230,FL,2025-11-30,PH,Manila,,,True,1,[25218],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1231,FL,2025-12-02,PH,Asia,,,False,10,"[25922, 26009, 26237, 26257, 25973, 26217, 25762, 25999, 26201, 25831]",,,,,,,,,,,,1800.0,,,,,orange_or_red,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1232,FL,2025-12-11,PH,Asia,,,False,1,[25828],,,,,,,,,,,,1750.0,,,,,orange_or_red,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1233,FL,2025-12-20,PH,Philippines,,,True,2,"[25981, 25965]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
TC_1234,TC,2025-07-30,PH,Asia,,,True,5,"[21692, 22101, 22284, 22421, 22869]",,,,,,,,,,,,,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1235,TC,2025-08-07,PH,Luzon,,,True,1,[22857],,,,,,,,,,,,,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1236,TC,2025-08-20,PH,Philippines,,,True,1,[23688],,,,,,,,,,,,,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1237,TC,2025-09-22,PH,Philippines,,,False,18,"[23005, 23071, 23528, 23659, 23759, 23791, 23846, 23965, 23966, 23990, 24555, 22985, 23331, 23752, 23269, 23448, 23769, 23002]",,,,265.0,,,,,,,,72.0,10000.0,,,,orange_or_red,0.6682840109351486,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1238,TC,2025-10-13,PH,Philippines,,,True,2,"[24223, 24507]",,,,,,,,22000.0,,,,,22000.0,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1239,TC,2025-10-29,PH,Philippines,,,False,26,"[25372, 25028, 25118, 25299, 25476, 24968, 25129, 25275, 24855, 25008, 25073, 25282, 25430, 24811, 24985, 25020, 25070, 25148, 25164, 25171, 25232, 25250, 25332, 25395, 25014, 25329]",,,,150.0,,,,200000.0,,,,114.0,200000.0,,,,green,0.4430911186517819,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1240,TC,2025-11-04,PH,Cebu,,,True,1,[24982],,,,,,,,,,,,,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1241,TC,2025-11-06,PH,Philippines,,,False,36,"[24872, 24969, 25007, 25208, 25212, 25281, 25492, 24930, 24931, 24973, 25132, 25156, 25176, 25177, 25306, 25389, 25415, 25447, 25498, 25535, 25580, 24832, 24889, 24922, 24959, 24967, 24980, 24989, 25005, 25143, 25256, 25362, 25392, 25428, 25448, 25545]",,,,185.0741,,,,1000000.0,,,,241.0,1400000.0,,,,orange_or_red,0.5605593236192963,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1242,TC,2025-11-06,PH,Asia,,,True,1,[25055],,,,,,,,,,,,188.0,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",['agriculture']
TC_1243,TC,2025-11-30,PH,Asia,,,True,7,"[25560, 25763, 26006, 26087, 26311, 25764, 26304]",,,,,,,,,,,,1800.0,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
TC_1244,TC,2025-12-08,PH,Asia,,,True,1,[25648],,,,,,,,,,,,1800.0,,,,,green,0.4852405042088848,ml,,PH,Philippines,"['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']","['IAK', 'MOO', 'XLE', 'JETS', 'XLU', 'XHB']","['insurance', 'agriculture', 'energy', 'tourism', 'utilities', 'construction']",[]
FL_1245,FL,2025-08-15,PR,Puerto Rico,,,True,1,[21698],,,,,,,,,,,,,,,,,green,,ml,,PR,Puerto Rico,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
