event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,sector
FL_0038,MOO,2025-09-21,0.0015399376395182859,0.004843732640026218,0.005267500155086761,0.69253,-0.000975,36,,agriculture
FL_0038,XHB,2025-09-21,0.007333332317417067,0.001466715235045172,0.001305131014526548,1.64875,0.000581,36,,construction
FL_0039,IAK,2025-10-06,0.008989409555908403,-0.007447537731420331,-0.015576077443911204,0.487667,0.000536,35,,insurance
FL_0039,MOO,2025-10-06,0.0007871341052546762,-0.010721208865293652,-0.016313157151680732,0.664288,-0.000446,35,,agriculture
FL_0039,XHB,2025-10-06,-0.010367278065535737,-0.023579661560690038,-0.004588082848753023,2.21483,-0.002229,35,,construction
FL_0040,IAK,2025-10-07,-0.006888382416478626,-0.016389230931174045,-0.008125158270407013,0.461924,0.000329,35,,insurance
FL_0040,MOO,2025-10-07,-0.009925740740498835,-0.011634326323812328,-0.01335180111661114,0.656682,-0.000599,35,,agriculture
FL_0040,XHB,2025-10-07,-0.003775852597582903,0.0323679762228882,0.04092282993285868,2.251239,-0.00209,35,,construction
FL_0041,IAK,2025-10-12,0.015920527973147216,-0.044904019852338904,-0.044160519449634054,0.416717,0.000235,36,,insurance
FL_0041,MOO,2025-10-12,0.0034845018570184485,0.009979689565333445,0.015258932694312999,0.625723,-0.000902,36,,agriculture
FL_0041,XHB,2025-10-12,0.03614836513716915,0.03166747495366414,0.025164075919532528,1.956003,-0.003206,36,,construction
FL_0042,IAK,2025-10-14,-0.02919101275929995,-0.054943042327326094,-0.05144933833251097,0.392688,0.000356,35,,insurance
FL_0042,MOO,2025-10-14,0.005266792701956272,0.011932287984911239,0.0049838526031505525,0.591083,-0.000735,35,,agriculture
FL_0042,XHB,2025-10-14,-0.006605944881336993,-0.0009689619173126238,0.016327760226451528,1.836123,-0.003421,35,,construction
FL_0043,IAK,2025-10-30,0.0017881476131112702,0.023965560797732398,0.028303064733255535,0.325615,-0.001154,36,,insurance
FL_0043,MOO,2025-10-30,-0.005902008060124628,-0.008823462253859625,-0.012181664209689046,0.548645,-0.001046,36,,agriculture
FL_0043,XHB,2025-10-30,0.005675885969261756,0.006141261416267873,0.025387401811588398,0.968736,-0.002549,36,,construction
FL_0044,IAK,2025-10-30,0.0017881476131112702,0.023965560797732398,0.028303064733255535,0.325615,-0.001154,36,,insurance
FL_0044,MOO,2025-10-30,-0.005902008060124628,-0.008823462253859625,-0.012181664209689046,0.548645,-0.001046,36,,agriculture
FL_0044,XHB,2025-10-30,0.005675885969261756,0.006141261416267873,0.025387401811588398,0.968736,-0.002549,36,,construction
FL_0045,IAK,2025-10-30,0.0017881476131112702,0.023965560797732398,0.028303064733255535,0.325615,-0.001154,36,,insurance
FL_0045,MOO,2025-10-30,-0.005902008060124628,-0.008823462253859625,-0.012181664209689046,0.548645,-0.001046,36,,agriculture
FL_0045,XHB,2025-10-30,0.005675885969261756,0.006141261416267873,0.025387401811588398,0.968736,-0.002549,36,,construction
FL_0046,IAK,2025-11-01,0.025007244058710493,0.02945134524034089,0.047883564767256644,0.31542,-0.001228,38,,insurance
FL_0046,MOO,2025-11-01,-0.004592236474274203,-0.008220332306328956,0.002763298036410745,0.573756,-0.00086,38,,agriculture
FL_0046,XHB,2025-11-01,0.015018430070000623,0.03422134219563171,0.03526547419501492,0.972298,-0.002521,38,,construction
FL_0047,IAK,2025-11-09,0.007844014517281879,0.02351295669637432,0.01551773964560096,0.188787,-0.001262,37,,insurance
FL_0047,MOO,2025-11-09,0.014837458306310307,0.02797004152166132,0.014616313712463951,0.612232,-0.001822,37,,agriculture
FL_0047,XHB,2025-11-09,0.004680302297391102,0.003995802841668246,-0.015026245094078568,0.846191,-0.003615,37,,construction
FL_0047,XME,2025-11-09,-0.020231320680776065,-0.018533192206169467,-0.028626318590982254,1.61098,0.001574,37,,mining
FL_0048,IAK,2025-11-18,-0.006824622080734145,0.008665854509027713,0.01431618069279324,-0.009258,-4.8e-05,36,,insurance
FL_0048,MOO,2025-11-18,-0.008402623160065856,0.009240544928666786,0.023196277129809553,0.660613,-0.001445,36,,agriculture
FL_0048,XHB,2025-11-18,-0.0014383833581087444,0.04841656893437798,0.07627371373551471,0.559273,-0.002236,36,,construction
FL_0049,IAK,2025-11-18,-0.006824622080734145,0.008665854509027713,0.01431618069279324,-0.009258,-4.8e-05,36,,insurance
FL_0049,MOO,2025-11-18,-0.008402623160065856,0.009240544928666786,0.023196277129809553,0.660613,-0.001445,36,,agriculture
FL_0049,XHB,2025-11-18,-0.0014383833581087444,0.04841656893437798,0.07627371373551471,0.559273,-0.002236,36,,construction
FL_0050,IAK,2025-11-21,-0.002969210010231517,0.007941559683764726,-0.00301852066675601,-0.002852,0.000456,38,,insurance
FL_0050,MOO,2025-11-21,0.0042405283234438805,0.009157572051400838,0.01609942457631971,0.635928,-0.000617,38,,agriculture
FL_0050,XHB,2025-11-21,-0.011785038085432332,0.0349345151423178,0.032955670060608025,0.639297,-0.001925,38,,construction
FL_0051,IAK,2025-12-05,-0.003864578883721597,0.006145677560245567,0.03887611019858912,0.038324,8.1e-05,37,,insurance
FL_0051,MOO,2025-12-05,-0.004353294035737599,0.0012965342868816723,0.022924364958025974,0.762888,-0.000544,37,,agriculture
FL_0051,XHB,2025-12-05,-0.013320782465194055,0.0011357919799511278,0.007765713530938783,0.864715,-0.000278,37,,construction
FL_0052,IAK,2025-12-15,-0.009816321477582237,-0.012972261699548307,-0.010868947738143737,-0.080246,0.001315,35,,insurance
FL_0052,MOO,2025-12-15,-0.00399484291306715,-0.002464018007595749,-0.009189686276424518,0.853229,-0.000452,35,,agriculture
FL_0052,XHB,2025-12-15,-0.004339873025708418,-0.004250884363850477,-0.0311428925721129,0.902124,-0.000644,35,,construction
FL_0053,IAK,2025-12-18,-0.0028417514411128034,0.0017184184627511926,-0.004193815726728031,-0.069386,0.00124,36,,insurance
FL_0053,MOO,2025-12-18,-0.0016103744153007403,-0.010421973450360889,-0.004908596180178269,0.892748,-0.000491,36,,agriculture
FL_0053,XHB,2025-12-18,-0.0199466316422807,-0.037028445920059605,-0.030269880647228374,1.013127,-0.000733,36,,construction
FL_0054,IAK,2025-12-25,-0.0006114296395341231,-0.01119500844661732,-0.012039663972760455,-0.006563,0.001976,36,,insurance
FL_0054,MOO,2025-12-25,0.0007443809503747314,0.003950507862403507,0.005322499525882346,0.864641,0.000444,36,,agriculture
FL_0054,XHB,2025-12-25,-0.00018119192236767858,-0.007887511886325313,-0.0019860868197557344,1.077117,-0.000319,36,,construction
FL_0055,IAK,2025-12-26,-0.0006114296395341231,-0.01119500844661732,-0.012039663972760455,-0.006563,0.001976,36,,insurance
FL_0055,MOO,2025-12-26,0.0007443809503747314,0.003950507862403507,0.005322499525882346,0.864641,0.000444,36,,agriculture
FL_0055,XHB,2025-12-26,-0.00018118889749928202,-0.00788750347997856,-0.0019861106071780614,1.077119,-0.000319,36,,construction
EQ_0056,IAK,2025-07-30,0.014139622453255209,0.01982202744361685,0.03959759810943438,0.794022,-0.002777,34,,insurance
EQ_0056,XHB,2025-07-30,-0.0028262959484162964,0.028193203252441696,0.02513937875930644,1.696017,0.001426,34,,construction
EQ_0057,IAK,2025-08-02,0.009610102909055849,0.009404659121304235,0.01913514778739524,0.705221,-0.002734,36,,insurance
EQ_0057,XHB,2025-08-02,0.018628634234381738,0.0067070525896993135,-0.0021745217197187525,1.640323,0.00047,36,,construction
EQ_0058,IAK,2025-08-03,0.009271930628190827,0.008230466755397991,0.017193846000009474,0.715623,-0.002367,35,,insurance
EQ_0058,XHB,2025-08-03,0.018861635278231387,0.0075160235951288006,-0.0008369559832778735,1.633159,0.000218,35,,construction
EQ_0059,IAK,2025-08-09,-0.0034261054354190025,0.01693781873617073,0.00874901819691237,0.70804,-0.001581,36,,insurance
EQ_0059,XHB,2025-08-09,0.019757558847265405,0.034112333331695645,0.027287477884482637,1.366417,0.000812,36,,construction
EQ_0060,IAK,2025-09-04,-0.017288947339463533,-0.024080719612973273,-0.013048592122590874,0.614087,-0.000288,36,,insurance
EQ_0060,XHB,2025-09-04,0.014908609247194613,-0.027462817718665003,-0.028791916696949655,1.740821,0.001709,36,,construction
EQ_0061,IAK,2025-09-22,0.003664561672549231,0.011169265749376971,0.013732330950221534,0.677186,0.000405,35,,insurance
EQ_0061,XHB,2025-09-22,0.006642006480541311,-0.0006778101799672295,-0.0015979605081295565,1.60785,0.001118,35,,construction
EQ_0061,XLU,2025-09-22,0.0062615146876339265,0.006457862870311467,0.022853157906461877,0.317436,8.4e-05,35,,utilities
EQ_0061,MOO,2025-09-22,0.001243612499339168,0.003924517898686967,0.004023110524801468,0.674998,-0.000744,35,,agriculture
EQ_0061,XLE,2025-09-22,0.018597740091913364,0.04417604696350094,0.03177042922867371,0.398379,-2.1e-05,35,,energy
EQ_0062,IAK,2025-09-22,0.003664561672549231,0.011169265749376971,0.013732330950221534,0.677186,0.000405,35,,insurance
EQ_0062,XHB,2025-09-22,0.006642006480541311,-0.0006778101799672295,-0.0015979605081295565,1.60785,0.001118,35,,construction
EQ_0062,WOOD,2025-09-22,0.0074046859653350075,-0.0009614667290877791,0.0010853216048187235,1.074636,-0.0012,35,,timber
EQ_0063,IAK,2025-09-22,0.003664561672549231,0.011169265749376971,0.013732330950221534,0.677186,0.000405,35,,insurance
EQ_0063,XHB,2025-09-22,0.006642006480541311,-0.0006778101799672295,-0.0015979605081295565,1.60785,0.001118,35,,construction
EQ_0064,IAK,2025-10-30,0.0017881476131112702,0.023965560797732398,0.028303064733255535,0.325615,-0.001154,36,,insurance
EQ_0064,XHB,2025-10-30,0.005675885969261756,0.006141261416267873,0.025387401811588398,0.968736,-0.002549,36,,construction
EQ_0065,IAK,2025-11-09,0.007844014517281879,0.02351295669637432,0.01551773964560096,0.188787,-0.001262,37,,insurance
EQ_0065,XHB,2025-11-09,0.004680302297391102,0.003995802841668246,-0.015026245094078568,0.846191,-0.003615,37,,construction
EQ_0066,IAK,2025-11-17,0.004402168841953851,0.002769179302429976,0.011311645139953537,-0.041595,-0.000151,36,,insurance
EQ_0066,XHB,2025-11-17,0.003995215650957154,0.010676677640915625,0.042589346522822716,0.58186,-0.002467,36,,construction
EQ_0067,IAK,2025-11-18,-0.006824622080734145,0.008665854509027713,0.01431618069279324,-0.009258,-4.8e-05,36,,insurance
EQ_0067,XHB,2025-11-18,-0.0014383833581087444,0.04841656893437798,0.07627371373551471,0.559273,-0.002236,36,,construction
EQ_0068,IAK,2025-11-27,-0.007635945509690796,-0.012228661244605714,-0.020280577925170136,0.01635,-0.000265,37,,insurance
EQ_0068,XHB,2025-11-27,0.0030134332488224915,0.013797932400557293,-0.0027574210999262755,0.673647,-0.002766,37,,construction
EQ_0069,IAK,2025-12-06,0.006961008008276592,0.03481025327843893,0.05492465228534532,0.049184,-0.000169,37,,insurance
EQ_0069,XHB,2025-12-06,-0.009369818450837383,0.02211870230582648,0.016539439175403677,0.811039,0.000115,37,,construction
EQ_0070,IAK,2025-12-08,0.0065301765191101875,0.03366144924147085,0.052819148417590736,0.037498,0.000252,35,,insurance
EQ_0070,XHB,2025-12-08,-0.009887252508480309,0.021038326866215297,0.014111893635459645,0.772646,0.000603,35,,construction
EQ_0071,IAK,2025-12-20,-0.0010233189932085328,-0.008196657734692633,-0.009959518659099956,-0.065326,0.001864,37,,insurance
