event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,source
RAND_2024-12-12_MOO,MOO,2024-12-12,-0.0023906161512733956,-0.022567380685980028,-0.04617418381422807,0.443145,-0.001065,36,,random
RAND_2025-02-02_IAK,IAK,2025-02-02,-0.006753898814251319,-0.0006082691663929496,-0.00912783530848539,0.782792,-0.001789,33,,random
RAND_2024-11-17_JETS,JETS,2024-11-17,-0.010753924075797956,-0.022144461820328722,-0.011316119136781114,1.233735,0.004422,37,,random
RAND_2025-02-18_IAK,IAK,2025-02-18,0.0051304940030885956,-0.00528072492946366,0.027840668212451788,0.277416,0.000616,31,,random
RAND_2025-04-16_XHB,XHB,2025-04-16,0.01940856178804041,0.03404621326928256,0.04093013549681623,0.671341,-0.002011,35,,random
RAND_2024-12-12_XHB,XHB,2024-12-12,-0.013019944418015914,-0.030645091282700997,-0.06731716188299854,0.938236,-0.001175,36,,random
RAND_2025-02-03_WOOD,WOOD,2025-02-03,-0.016560144422395152,-0.004733244438629285,-0.024159074616772476,1.003118,-0.00018,32,,random
RAND_2025-01-31_JETS,JETS,2025-01-31,-0.01062959188509302,-0.014553476911264848,0.005809218675264627,0.658569,0.00166,34,,random
RAND_2025-04-15_MOO,MOO,2025-04-15,0.0077313910795624805,0.018310935567062245,0.01679479399399207,0.719383,0.000576,35,,random
RAND_2025-04-18_XLU,XLU,2025-04-18,0.015423072468829808,0.0053752464662048475,0.003873900996785201,0.498469,0.000365,37,,random
RAND_2025-04-16_IAK,IAK,2025-04-16,-0.010454808290802229,-0.015618430652458121,-0.04194688222502346,0.855826,0.003212,35,,random
RAND_2025-02-06_XLE,XLE,2025-02-06,0.0040159409044456295,0.029762583483748745,0.00754534483706025,0.507226,-4.8e-05,33,,random
RAND_2024-11-20_XHB,XHB,2024-11-20,0.010611886134182779,0.06868196158599138,0.051397618039209676,0.828024,-0.002121,36,,random
RAND_2025-04-12_IAK,IAK,2025-04-12,-0.008471608868812232,-0.0123027469786555,-0.016337198154964847,0.847072,0.002674,37,,random
RAND_2025-04-19_IAK,IAK,2025-04-19,0.01493244217902909,-0.006775909846809879,-0.019760714441579903,0.746177,0.002559,37,,random
RAND_2024-11-17_XHB,XHB,2024-11-17,-0.001399291048851426,0.02002757608467792,0.07649854872542683,0.94214,-0.001725,37,,random
RAND_2025-01-31_XLU,XLU,2025-01-31,0.01127736160285676,0.0054197514885008435,0.006759557980057389,0.624347,-0.000829,34,,random
RAND_2025-02-16_IAK,IAK,2025-02-16,0.0047673300501713195,-0.00594281232680999,0.02660431553439178,0.311279,0.00102,33,,random
RAND_2025-02-05_IAK,IAK,2025-02-05,0.0023261204968962656,-0.009422337912049236,-0.011705493139054095,0.564472,-0.000174,32,,random
RAND_2025-04-15_IAK,IAK,2025-04-15,0.006158671366357693,-0.02051915721405717,-0.02199942221669178,0.86786,0.002896,35,,random
RAND_2025-06-15_MOO,MOO,2025-06-15,-0.0014288922228811608,-0.014419585236171468,-0.0331680837678067,0.656256,0.000778,35,,random
RAND_2025-02-02_IAK,IAK,2025-02-02,-0.006753898814251319,-0.0006082691663929496,-0.00912783530848539,0.782792,-0.001789,33,,random
RAND_2024-11-20_XHB,XHB,2024-11-20,0.010611886134182779,0.06868196158599138,0.051397618039209676,0.828024,-0.002121,36,,random
RAND_2025-04-16_MOO,MOO,2025-04-16,0.007498220591239925,0.015447907770371846,0.011220563659487261,0.720872,0.000107,35,,random
